lat,lon,,,,,,,,,,,
37.6060115,126.9987234,,,,,,,,,,,
37.6047095,127.0230189,,,,,,,,,,,
37.6084722,127.0229097,,,,,,,,,,,
37.6115152,127.0294811,,,,,,,,,,,
37.6105079,127.028724,,,,,,,,,,,
37.5855057,127.0094906,,,,,,,,,,,
37.5856247,127.0234484,,,,,,,,,,,
37.6008958,127.019369,,,,,,,,,,,
37.592217,127.0189235,,,,,,,,,,,
37.5899521,127.0189634,,,,,,,,,,,
37.5896996,127.0215416,,,,,,,,,,,
37.5944787,127.0194781,,,,,,,,,,,
37.5954476,127.0206001,,,,,,,,,,,
37.5938743,127.0205969,,,,,,,,,,,
37.5939217,127.0173,,,,,,,,,,,
37.5964431,127.0192791,,,,,,,,,,,
37.5954673,127.0164756,,,,,,,,,,,
37.5893101,127.0066332,,,,,,,,,,,
37.5888874,127.0080055,,,,,,,,,,,
37.5899631,127.0092764,,,,,,,,,,,
37.5928458,127.0139442,,,,,,,,,,,
37.5977665,127.0214258,,,,,,,,,,,
37.5994961,127.0223567,,,,,,,,,,,
37.5966584,127.0219918,,,,,,,,,,,
37.5862244,127.0180862,,,,,,,,,,,
37.5843916,127.0178532,,,,,,,,,,,
37.5832302,127.0197027,,,,,,,,,,,
37.5804775,127.0200286,,,,,,,,,,,
37.5798133,127.0190365,,,,,,,,,,,
37.5788852,127.0215269,,,,,,,,,,,
37.6087957,127.0697429,,,,,,,,,,,
37.6055697,127.0594746,,,,,,,,,,,
37.6075671,127.0613624,,,,,,,,,,,
37.606181,127.0517463,,,,,,,,,,,
37.6060518,127.0532768,,,,,,,,,,,
37.6084734,127.0682847,,,,,,,,,,,
37.6084734,127.0682847,,,,,,,,,,,
37.605882,127.0631571,,,,,,,,,,,
37.6113631,127.0655598,,,,,,,,,,,
37.6113462,127.0601415,,,,,,,,,,,
37.6102485,127.0613604,,,,,,,,,,,
37.6088755,127.0625114,,,,,,,,,,,
37.6095472,127.0621111,,,,,,,,,,,
37.6131429,127.0618462,,,,,,,,,,,
37.607908,127.0588041,,,,,,,,,,,
37.6048354,127.0609414,,,,,,,,,,,
37.6065263,127.0598827,,,,,,,,,,,
37.6067351,127.0516282,,,,,,,,,,,
37.5939959,127.0002761,,,,,,,,,,,
37.5932273,126.995398,,,,,,,,,,,
37.5929283,126.9948777,,,,,,,,,,,
37.5938935,127.00148,,,,,,,,,,,
37.5919792,127.0048324,,,,,,,,,,,
37.5948078,126.9948694,,,,,,,,,,,
37.5949446,126.9936888,,,,,,,,,,,
37.5966388,126.9923478,,,,,,,,,,,
37.5969366,126.9925114,,,,,,,,,,,
37.5871972,127.0082419,,,,,,,,,,,
37.5859511,127.0073798,,,,,,,,,,,
37.5852153,127.0083962,,,,,,,,,,,
37.5883665,127.0124057,,,,,,,,,,,
37.5874232,127.0130624,,,,,,,,,,,
37.5847363,127.0133787,,,,,,,,,,,
37.5880611,127.0147739,,,,,,,,,,,
37.6058179,127.049847,,,,,,,,,,,
37.6064723,127.0461964,,,,,,,,,,,
37.6062049,127.0439857,,,,,,,,,,,
37.6091659,127.0454598,,,,,,,,,,,
37.6041768,127.038746,,,,,,,,,,,
37.607731,127.0356564,,,,,,,,,,,
37.6094515,127.0346035,,,,,,,,,,,
37.609342,127.0332299,,,,,,,,,,,
37.6083032,127.0343341,,,,,,,,,,,
37.6044845,127.0335476,,,,,,,,,,,
37.6051607,127.0443422,,,,,,,,,,,
37.6078489,127.0461686,,,,,,,,,,,
37.6034478,127.0405543,,,,,,,,,,,
37.5878997,127.0235444,,,,,,,,,,,
37.5870681,127.0245347,,,,,,,,,,,
